日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/06/22 06:00:00,111.388,111.388,111.341,111.372,111.391,111.399,111.385,111.396
2017/06/22 06:01:00,111.372,111.377,111.334,111.337,111.396,111.396,111.358,111.381
2017/06/22 06:02:00,111.337,111.355,111.336,111.355,111.381,111.384,111.372,111.379
2017/06/22 06:03:00,111.355,111.38,111.352,111.379,111.379,111.409,111.376,111.403
2017/06/22 06:04:00,111.379,111.405,111.378,111.39,111.403,111.435,111.397,111.405
2017/06/22 06:05:00,111.39,111.392,111.376,111.378,111.405,111.407,111.4,111.402
2017/06/22 06:06:00,111.378,111.387,111.358,111.363,111.402,111.405,111.373,111.378
2017/06/22 06:07:00,111.363,111.363,111.356,111.356,111.378,111.381,111.371,111.38
2017/06/22 06:08:00,111.356,111.359,111.354,111.358,111.38,111.38,111.373,111.373
2017/06/22 06:09:00,111.358,111.363,111.358,111.362,111.373,111.378,111.373,111.377
2017/06/22 06:10:00,111.362,111.374,111.362,111.369,111.377,111.378,111.37,111.372
2017/06/22 06:11:00,111.369,111.371,111.356,111.356,111.372,111.401,111.368,111.4
2017/06/22 06:12:00,111.356,111.388,111.356,111.371,111.4,111.411,111.383,111.395
2017/06/22 06:13:00,111.371,111.384,111.341,111.343,111.395,111.397,111.344,111.346
2017/06/22 06:14:00,111.343,111.346,111.338,111.342,111.346,111.349,111.341,111.345
2017/06/22 06:15:00,111.342,111.379,111.34,111.368,111.345,111.414,111.345,111.412
2017/06/22 06:16:00,111.368,111.376,111.331,111.332,111.412,111.412,111.375,111.376
2017/06/22 06:17:00,111.332,111.374,111.322,111.36,111.376,111.406,111.345,111.404
2017/06/22 06:18:00,111.36,111.374,111.343,111.344,111.404,111.406,111.38,111.388
2017/06/22 06:19:00,111.344,111.346,111.338,111.345,111.388,111.39,111.362,111.389
2017/06/22 06:20:00,111.345,111.347,111.343,111.345,111.389,111.391,111.387,111.389
2017/06/22 06:21:00,111.345,111.347,111.338,111.342,111.389,111.391,111.382,111.386
