日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/06/09 06:00:00,109.991,110.02,109.872,109.872,110.035,110.089,109.952,109.952
2017/06/09 06:01:00,109.872,109.882,109.808,109.874,109.952,109.955,109.832,109.898
2017/06/09 06:02:00,109.874,109.875,109.793,109.808,109.898,109.91,109.826,109.852
2017/06/09 06:03:00,109.808,110.062,109.799,109.875,109.852,110.106,109.831,109.955
2017/06/09 06:04:00,109.875,109.894,109.759,109.763,109.955,109.974,109.815,109.84
2017/06/09 06:05:00,109.763,109.892,109.761,109.891,109.84,109.96,109.824,109.935
2017/06/09 06:06:00,109.891,109.923,109.75,109.821,109.935,109.972,109.807,109.885
2017/06/09 06:07:00,109.821,109.949,109.811,109.942,109.885,109.986,109.852,109.986
2017/06/09 06:08:00,109.942,109.942,109.797,109.81,109.986,109.986,109.823,109.854
2017/06/09 06:09:00,109.81,109.896,109.805,109.848,109.854,109.948,109.84,109.892
2017/06/09 06:10:00,109.848,109.875,109.847,109.865,109.892,109.904,109.879,109.889
2017/06/09 06:11:00,109.865,109.88,109.854,109.878,109.889,109.904,109.888,109.902
2017/06/09 06:12:00,109.878,109.878,109.865,109.872,109.902,109.902,109.878,109.896
2017/06/09 06:13:00,109.872,109.884,109.848,109.862,109.896,109.898,109.878,109.886
2017/06/09 06:14:00,109.862,109.871,109.836,109.846,109.886,109.895,109.848,109.849
2017/06/09 06:15:00,109.846,109.871,109.843,109.861,109.849,109.901,109.848,109.885
2017/06/09 06:16:00,109.861,109.869,109.844,109.867,109.885,109.896,109.87,109.891
2017/06/09 06:17:00,109.867,109.875,109.851,109.855,109.891,109.908,109.889,109.899
2017/06/09 06:18:00,109.855,109.867,109.848,109.852,109.899,109.901,109.884,109.896
2017/06/09 06:19:00,109.852,109.865,109.846,109.864,109.896,109.909,109.873,109.908
2017/06/09 06:20:00,109.864,109.88,109.817,109.838,109.908,109.911,109.84,109.882
2017/06/09 06:21:00,109.838,109.846,109.8,109.82,109.882,109.882,109.813,109.844
2017/06/09 06:22:00,109.82,109.863,109.803,109.84,109.844,109.897,109.833,109.884
2017/06/09 06:23:00,109.84,109.847,109.822,109.825,109.884,109.891,109.834,109.849
2017/06/09 06:24:00,109.825,109.827,109.798,109.826,109.849,109.849,109.821,109.829
2017/06/09 06:25:00,109.826,109.83,109.819,109.825,109.829,109.833,109.822,109.828
2017/06/09 06:26:00,109.825,109.831,109.777,109.785,109.828,109.834,109.78,109.788
2017/06/09 06:27:00,109.785,109.788,109.764,109.764,109.788,109.797,109.78,109.788
2017/06/09 06:28:00,109.764,109.799,109.763,109.795,109.788,109.802,109.769,109.798
2017/06/09 06:29:00,109.795,109.902,109.794,109.887,109.798,109.934,109.797,109.931
2017/06/09 06:30:00,109.887,109.909,109.857,109.909,109.931,109.933,109.877,109.933
2017/06/09 06:31:00,109.909,109.923,109.897,109.907,109.933,109.939,109.909,109.91
2017/06/09 06:32:00,109.907,109.907,109.886,109.895,109.91,109.916,109.897,109.898
2017/06/09 06:33:00,109.895,109.902,109.894,109.901,109.898,109.905,109.897,109.904
2017/06/09 06:34:00,109.901,109.904,109.895,109.898,109.904,109.907,109.898,109.901
2017/06/09 06:35:00,109.898,109.899,109.86,109.86,109.901,109.908,109.884,109.884
2017/06/09 06:36:00,109.86,109.863,109.825,109.825,109.884,109.887,109.849,109.849
2017/06/09 06:37:00,109.825,109.832,109.815,109.824,109.849,109.856,109.827,109.827
2017/06/09 06:38:00,109.824,109.826,109.795,109.808,109.827,109.833,109.808,109.811
2017/06/09 06:39:00,109.808,109.81,109.804,109.806,109.811,109.813,109.807,109.809
2017/06/09 06:40:00,109.806,109.822,109.806,109.816,109.809,109.83,109.809,109.819
2017/06/09 06:41:00,109.816,109.849,109.814,109.835,109.819,109.87,109.817,109.838
2017/06/09 06:42:00,109.835,109.862,109.829,109.833,109.838,109.868,109.838,109.857
2017/06/09 06:43:00,109.833,109.866,109.829,109.866,109.857,109.869,109.853,109.869
2017/06/09 06:44:00,109.866,109.875,109.855,109.874,109.869,109.899,109.858,109.898
2017/06/09 06:45:00,109.874,109.901,109.872,109.897,109.898,109.904,109.885,109.9
2017/06/09 06:46:00,109.897,109.897,109.882,109.887,109.9,109.9,109.885,109.89
2017/06/09 06:47:00,109.887,109.988,109.885,109.985,109.89,110.011,109.888,110.009
2017/06/09 06:48:00,109.985,110,109.947,109.978,110.009,110.015,109.979,110.002
2017/06/09 06:49:00,109.978,109.993,109.973,109.984,110.002,110.002,109.986,109.987
2017/06/09 06:50:00,109.984,109.992,109.977,109.98,109.987,110.007,109.983,110.004
2017/06/09 06:51:00,109.98,109.994,109.918,109.94,110.004,110.006,109.933,109.943
2017/06/09 06:52:00,109.94,109.944,109.924,109.935,109.943,109.953,109.934,109.938
2017/06/09 06:53:00,109.935,109.953,109.933,109.933,109.938,109.97,109.936,109.936
2017/06/09 06:54:00,109.933,109.936,109.878,109.899,109.936,109.939,109.895,109.902
2017/06/09 06:55:00,109.899,109.941,109.898,109.939,109.902,109.958,109.901,109.942
2017/06/09 06:56:00,109.939,109.941,109.923,109.926,109.942,109.955,109.938,109.95
2017/06/09 06:57:00,109.926,109.96,109.924,109.948,109.95,109.963,109.939,109.951
2017/06/09 06:58:00,109.948,109.95,109.94,109.942,109.951,109.953,109.943,109.945
2017/06/09 06:59:00,109.942,109.944,109.926,109.928,109.945,109.947,109.929,109.931
2017/06/09 07:00:00,109.928,109.928,109.865,109.891,109.931,109.943,109.875,109.894
2017/06/09 07:01:00,109.891,109.905,109.871,109.88,109.894,109.908,109.874,109.883
2017/06/09 07:02:00,109.88,109.907,109.871,109.905,109.883,109.922,109.874,109.908
2017/06/09 07:03:00,109.905,109.916,109.875,109.875,109.908,109.928,109.878,109.878
2017/06/09 07:04:00,109.875,109.883,109.875,109.881,109.878,109.886,109.878,109.884
2017/06/09 07:05:00,109.881,109.903,109.877,109.893,109.884,109.906,109.88,109.896
2017/06/09 07:06:00,109.893,109.917,109.89,109.912,109.896,109.92,109.893,109.915
2017/06/09 07:07:00,109.912,109.913,109.896,109.896,109.915,109.916,109.899,109.899
2017/06/09 07:08:00,109.896,109.897,109.889,109.895,109.899,109.9,109.892,109.898
2017/06/09 07:09:00,109.895,109.896,109.887,109.894,109.898,109.899,109.89,109.897
2017/06/09 07:10:00,109.894,109.924,109.889,109.907,109.897,109.927,109.892,109.91
2017/06/09 07:11:00,109.907,109.917,109.9,109.914,109.91,109.92,109.903,109.917
2017/06/09 07:12:00,109.914,109.99,109.909,109.98,109.917,109.993,109.912,109.983
2017/06/09 07:13:00,109.98,109.982,109.94,109.943,109.983,109.985,109.943,109.946
2017/06/09 07:14:00,109.943,109.984,109.939,109.979,109.946,109.987,109.942,109.982
2017/06/09 07:15:00,109.979,109.979,109.949,109.953,109.982,109.982,109.952,109.956
2017/06/09 07:16:00,109.953,109.99,109.944,109.968,109.956,109.993,109.947,109.971
2017/06/09 07:17:00,109.968,109.982,109.961,109.968,109.971,109.985,109.964,109.971
2017/06/09 07:18:00,109.968,109.969,109.955,109.965,109.971,109.972,109.958,109.968
2017/06/09 07:19:00,109.965,109.968,109.945,109.966,109.968,109.971,109.948,109.969
2017/06/09 07:20:00,109.966,110.002,109.964,110.001,109.969,110.005,109.967,110.004
2017/06/09 07:21:00,110.001,110.026,110,110.022,110.004,110.029,110.003,110.025
2017/06/09 07:22:00,110.022,110.106,110.016,110.077,110.025,110.109,110.019,110.08
2017/06/09 07:23:00,110.077,110.1,110.061,110.091,110.08,110.103,110.064,110.094
2017/06/09 07:24:00,110.091,110.094,110.068,110.082,110.094,110.097,110.071,110.085
2017/06/09 07:25:00,110.082,110.106,110.067,110.097,110.085,110.109,110.07,110.1
2017/06/09 07:26:00,110.097,110.098,110.075,110.093,110.1,110.101,110.078,110.096
2017/06/09 07:27:00,110.093,110.126,110.093,110.105,110.096,110.129,110.096,110.108
2017/06/09 07:28:00,110.105,110.134,110.094,110.115,110.108,110.137,110.097,110.118
