日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/02/18 07:00:00,114.056,114.131,114.056,114.105,114.124,114.177,114.098,114.129
2016/02/18 07:01:00,114.105,114.113,114.097,114.107,114.129,114.134,114.128,114.131
2016/02/18 07:02:00,114.107,114.107,114.086,114.09,114.131,114.131,114.105,114.105
2016/02/18 07:03:00,114.09,114.122,114.084,114.088,114.105,114.137,114.103,114.112
2016/02/18 07:04:00,114.088,114.099,114.079,114.092,114.112,114.123,114.103,114.107
2016/02/18 07:05:00,114.092,114.093,114.055,114.061,114.107,114.124,114.095,114.097
2016/02/18 07:06:00,114.061,114.071,114.06,114.064,114.097,114.116,114.097,114.102
2016/02/18 07:07:00,114.064,114.083,114.064,114.082,114.102,114.125,114.095,114.118
2016/02/18 07:08:00,114.082,114.082,114.075,114.076,114.118,114.118,114.111,114.112
2016/02/18 07:09:00,114.076,114.082,114.076,114.081,114.112,114.132,114.112,114.117
2016/02/18 07:10:00,114.081,114.081,114.068,114.079,114.117,114.121,114.116,114.12
2016/02/18 07:11:00,114.079,114.083,114.076,114.083,114.12,114.124,114.12,114.124
2016/02/18 07:12:00,114.083,114.114,114.077,114.101,114.124,114.141,114.117,114.126
2016/02/18 07:13:00,114.101,114.136,114.09,114.122,114.126,114.153,114.106,114.148
2016/02/18 07:14:00,114.122,114.131,114.111,114.126,114.148,114.148,114.127,114.129
2016/02/18 07:15:00,114.126,114.126,114.071,114.075,114.129,114.142,114.113,114.116
2016/02/18 07:16:00,114.075,114.111,114.075,114.098,114.116,114.145,114.116,114.144
2016/02/18 07:17:00,114.098,114.099,114.084,114.096,114.144,114.144,114.098,114.14
2016/02/18 07:18:00,114.096,114.104,114.089,114.093,114.14,114.143,114.106,114.142
2016/02/18 07:19:00,114.093,114.103,114.092,114.103,114.142,114.153,114.14,114.15
2016/02/18 07:20:00,114.103,114.103,114.095,114.097,114.15,114.153,114.141,114.141
2016/02/18 07:21:00,114.097,114.103,114.097,114.1,114.141,114.155,114.139,114.153
2016/02/18 07:22:00,114.1,114.102,114.098,114.1,114.153,114.154,114.147,114.147
2016/02/18 07:23:00,114.1,114.114,114.091,114.105,114.147,114.152,114.108,114.108
2016/02/18 07:24:00,114.105,114.105,114.088,114.097,114.108,114.119,114.099,114.1
2016/02/18 07:25:00,114.097,114.104,114.091,114.1,114.1,114.118,114.1,114.103
2016/02/18 07:26:00,114.1,114.102,114.093,114.095,114.103,114.105,114.096,114.098
2016/02/18 07:27:00,114.095,114.114,114.095,114.104,114.098,114.152,114.098,114.15
2016/02/18 07:28:00,114.104,114.107,114.103,114.103,114.15,114.15,114.147,114.149
2016/02/18 07:29:00,114.103,114.137,114.103,114.113,114.149,114.163,114.128,114.139
2016/02/18 07:30:00,114.113,114.125,114.11,114.112,114.139,114.146,114.126,114.141
2016/02/18 07:31:00,114.112,114.117,114.111,114.112,114.141,114.145,114.14,114.145
2016/02/18 07:32:00,114.112,114.12,114.107,114.107,114.145,114.146,114.136,114.136
2016/02/18 07:33:00,114.107,114.111,114.106,114.111,114.136,114.146,114.136,114.144
2016/02/18 07:34:00,114.111,114.119,114.102,114.117,114.144,114.149,114.137,114.147
2016/02/18 07:35:00,114.117,114.133,114.103,114.122,114.147,114.151,114.12,114.125
2016/02/18 07:36:00,114.122,114.123,114.108,114.109,114.125,114.135,114.123,114.135
2016/02/18 07:37:00,114.109,114.123,114.109,114.117,114.135,114.138,114.12,114.12
2016/02/18 07:38:00,114.117,114.123,114.108,114.114,114.12,114.137,114.117,114.117
2016/02/18 07:39:00,114.114,114.133,114.113,114.113,114.117,114.143,114.116,114.138
2016/02/18 07:40:00,114.113,114.132,114.101,114.105,114.138,114.151,114.134,114.134
2016/02/18 07:41:00,114.105,114.12,114.102,114.115,114.134,114.148,114.118,114.118
2016/02/18 07:42:00,114.115,114.116,114.105,114.106,114.118,114.131,114.116,114.131
2016/02/18 07:43:00,114.106,114.11,114.099,114.106,114.131,114.131,114.109,114.109
2016/02/18 07:44:00,114.106,114.107,114.075,114.075,114.109,114.121,114.103,114.121
2016/02/18 07:45:00,114.075,114.091,114.072,114.088,114.121,114.132,114.118,114.122
2016/02/18 07:46:00,114.088,114.096,114.08,114.084,114.122,114.134,114.116,114.134
2016/02/18 07:47:00,114.084,114.092,114.084,114.091,114.134,114.134,114.128,114.129
2016/02/18 07:48:00,114.091,114.12,114.083,114.12,114.129,114.142,114.117,114.123
2016/02/18 07:49:00,114.12,114.121,114.097,114.106,114.123,114.132,114.12,114.132
2016/02/18 07:50:00,114.106,114.106,114.097,114.1,114.132,114.135,114.129,114.135
2016/02/18 07:51:00,114.1,114.112,114.059,114.076,114.135,114.136,114.095,114.13
2016/02/18 07:52:00,114.076,114.091,114.07,114.07,114.13,114.134,114.111,114.122
2016/02/18 07:53:00,114.07,114.087,114.057,114.072,114.122,114.129,114.079,114.101
2016/02/18 07:54:00,114.072,114.09,114.054,114.069,114.101,114.127,114.073,114.1
2016/02/18 07:55:00,114.069,114.08,114.027,114.027,114.1,114.122,114.056,114.058
