日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/09/27 06:00:00,112.217,112.226,112.211,112.217,112.261,112.29,112.261,112.261
2017/09/27 06:01:00,112.217,112.224,112.211,112.222,112.261,112.262,112.237,112.237
2017/09/27 06:02:00,112.222,112.232,112.219,112.232,112.237,112.265,112.234,112.256
2017/09/27 06:03:00,112.232,112.251,112.231,112.251,112.256,112.276,112.256,112.266
2017/09/27 06:04:00,112.251,112.255,112.247,112.255,112.266,112.271,112.266,112.27
2017/09/27 06:05:00,112.255,112.258,112.227,112.232,112.27,112.273,112.242,112.247
2017/09/27 06:06:00,112.232,112.241,112.228,112.228,112.247,112.278,112.247,112.272
2017/09/27 06:07:00,112.228,112.241,112.226,112.237,112.272,112.276,112.26,112.261
2017/09/27 06:08:00,112.237,112.237,112.235,112.237,112.261,112.261,112.259,112.261
2017/09/27 06:09:00,112.237,112.237,112.23,112.232,112.261,112.261,112.254,112.256
2017/09/27 06:10:00,112.232,112.242,112.232,112.241,112.256,112.256,112.25,112.253
2017/09/27 06:11:00,112.241,112.243,112.239,112.242,112.253,112.255,112.251,112.254
2017/09/27 06:12:00,112.242,112.245,112.24,112.244,112.254,112.257,112.252,112.256
2017/09/27 06:13:00,112.244,112.244,112.241,112.242,112.256,112.256,112.253,112.254
2017/09/27 06:14:00,112.242,112.245,112.236,112.238,112.254,112.255,112.239,112.241
2017/09/27 06:15:00,112.238,112.243,112.234,112.235,112.241,112.251,112.241,112.247
2017/09/27 06:16:00,112.235,112.243,112.234,112.24,112.247,112.253,112.241,112.252
2017/09/27 06:17:00,112.24,112.242,112.235,112.236,112.252,112.252,112.242,112.248
2017/09/27 06:18:00,112.236,112.242,112.235,112.242,112.248,112.25,112.242,112.245
2017/09/27 06:19:00,112.242,112.242,112.235,112.24,112.245,112.252,112.241,112.252
2017/09/27 06:20:00,112.24,112.248,112.239,112.24,112.252,112.254,112.246,112.252
2017/09/27 06:21:00,112.24,112.245,112.237,112.239,112.252,112.253,112.246,112.251
2017/09/27 06:22:00,112.239,112.246,112.239,112.244,112.251,112.251,112.245,112.247
2017/09/27 06:23:00,112.244,112.246,112.24,112.246,112.247,112.249,112.243,112.249
2017/09/27 06:24:00,112.246,112.247,112.24,112.242,112.249,112.25,112.243,112.245
2017/09/27 06:25:00,112.242,112.244,112.242,112.243,112.245,112.247,112.245,112.246
2017/09/27 06:26:00,112.243,112.244,112.238,112.242,112.246,112.252,112.243,112.245
