日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/01/21 07:00:00,116.928,116.928,116.902,116.906,116.964,116.966,116.949,116.962
2016/01/21 07:01:00,116.906,116.907,116.902,116.907,116.962,116.966,116.962,116.963
2016/01/21 07:02:00,116.907,116.908,116.902,116.906,116.963,116.964,116.957,116.962
2016/01/21 07:03:00,116.906,116.936,116.906,116.922,116.962,116.97,116.96,116.968
2016/01/21 07:04:00,116.922,116.93,116.921,116.921,116.968,116.969,116.953,116.969
2016/01/21 07:05:00,116.921,116.921,116.911,116.92,116.969,116.971,116.965,116.969
2016/01/21 07:06:00,116.92,116.92,116.913,116.913,116.969,116.969,116.964,116.967
2016/01/21 07:07:00,116.913,116.932,116.913,116.931,116.967,116.968,116.955,116.955
2016/01/21 07:08:00,116.931,116.932,116.92,116.921,116.955,116.963,116.95,116.957
2016/01/21 07:09:00,116.921,116.923,116.899,116.901,116.957,116.957,116.929,116.937
2016/01/21 07:10:00,116.901,116.922,116.901,116.909,116.937,116.948,116.918,116.934
2016/01/21 07:11:00,116.909,116.909,116.882,116.899,116.934,116.948,116.927,116.935
2016/01/21 07:12:00,116.899,116.908,116.899,116.908,116.935,116.945,116.935,116.944
2016/01/21 07:13:00,116.908,116.916,116.906,116.915,116.944,116.946,116.942,116.946
2016/01/21 07:14:00,116.915,116.919,116.906,116.915,116.946,116.951,116.942,116.948
2016/01/21 07:15:00,116.915,116.944,116.908,116.922,116.948,116.963,116.928,116.948
2016/01/21 07:16:00,116.922,116.946,116.922,116.941,116.948,116.949,116.931,116.944
2016/01/21 07:17:00,116.941,116.947,116.935,116.947,116.944,116.95,116.938,116.95
2016/01/21 07:18:00,116.947,116.961,116.942,116.942,116.95,116.969,116.95,116.969
2016/01/21 07:19:00,116.942,116.957,116.942,116.956,116.969,116.971,116.959,116.959
2016/01/21 07:20:00,116.956,116.957,116.939,116.957,116.959,116.974,116.955,116.96
2016/01/21 07:21:00,116.957,116.957,116.956,116.956,116.96,116.96,116.959,116.959
2016/01/21 07:22:00,116.956,116.959,116.956,116.958,116.959,116.962,116.959,116.961
2016/01/21 07:23:00,116.958,116.966,116.945,116.959,116.961,116.976,116.961,116.962
2016/01/21 07:24:00,116.959,116.959,116.959,116.959,116.962,116.962,116.962,116.962
2016/01/21 07:25:00,116.959,116.959,116.943,116.95,116.962,116.972,116.953,116.953
2016/01/21 07:26:00,116.95,116.956,116.936,116.94,116.953,116.979,116.952,116.971
2016/01/21 07:27:00,116.94,116.947,116.94,116.943,116.971,116.976,116.971,116.973
2016/01/21 07:28:00,116.943,116.945,116.943,116.943,116.973,116.975,116.973,116.974
2016/01/21 07:29:00,116.943,116.946,116.941,116.946,116.974,116.977,116.972,116.974
2016/01/21 07:30:00,116.946,116.946,116.912,116.932,116.974,116.978,116.965,116.968
2016/01/21 07:31:00,116.932,116.932,116.909,116.914,116.968,116.968,116.949,116.95
2016/01/21 07:32:00,116.914,116.916,116.914,116.915,116.95,116.952,116.95,116.951
2016/01/21 07:33:00,116.915,116.919,116.912,116.914,116.951,116.955,116.948,116.95
2016/01/21 07:34:00,116.914,116.917,116.912,116.912,116.95,116.953,116.948,116.948
2016/01/21 07:35:00,116.912,116.919,116.911,116.912,116.948,116.955,116.947,116.948
2016/01/21 07:36:00,116.912,116.92,116.912,116.915,116.948,116.955,116.948,116.951
2016/01/21 07:37:00,116.915,116.918,116.904,116.908,116.951,116.959,116.944,116.944
2016/01/21 07:38:00,116.908,116.911,116.899,116.9,116.944,116.947,116.935,116.936
2016/01/21 07:39:00,116.9,116.9,116.895,116.897,116.936,116.936,116.931,116.933
2016/01/21 07:40:00,116.897,116.897,116.894,116.894,116.933,116.933,116.93,116.93
2016/01/21 07:41:00,116.894,116.9,116.894,116.9,116.93,116.936,116.93,116.936
2016/01/21 07:42:00,116.9,116.908,116.897,116.902,116.936,116.943,116.933,116.938
2016/01/21 07:43:00,116.902,116.928,116.901,116.911,116.938,116.955,116.921,116.947
2016/01/21 07:44:00,116.911,116.94,116.909,116.939,116.947,116.954,116.939,116.942
2016/01/21 07:45:00,116.939,116.978,116.923,116.974,116.942,116.992,116.942,116.977
2016/01/21 07:46:00,116.974,116.991,116.971,116.983,116.977,116.994,116.974,116.986
2016/01/21 07:47:00,116.983,116.983,116.972,116.973,116.986,116.986,116.975,116.976
2016/01/21 07:48:00,116.973,116.976,116.97,116.97,116.976,116.979,116.973,116.973
2016/01/21 07:49:00,116.97,116.977,116.97,116.972,116.973,116.98,116.973,116.975
2016/01/21 07:50:00,116.972,116.973,116.944,116.96,116.975,116.978,116.961,116.963
2016/01/21 07:51:00,116.96,116.96,116.941,116.954,116.963,116.98,116.955,116.957
2016/01/21 07:52:00,116.954,116.966,116.951,116.966,116.957,116.969,116.954,116.969
2016/01/21 07:53:00,116.966,116.966,116.951,116.956,116.969,116.986,116.969,116.983
2016/01/21 07:54:00,116.956,116.956,116.951,116.951,116.983,116.984,116.979,116.981
2016/01/21 07:55:00,116.951,116.976,116.951,116.975,116.981,116.992,116.968,116.978
2016/01/21 07:56:00,116.975,116.98,116.961,116.979,116.978,116.994,116.976,116.982
2016/01/21 07:57:00,116.979,116.987,116.978,116.985,116.982,116.99,116.981,116.988
2016/01/21 07:58:00,116.985,116.986,116.955,116.979,116.988,116.996,116.977,116.982
2016/01/21 07:59:00,116.979,116.984,116.978,116.98,116.982,116.987,116.981,116.983
