日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/08/07 07:00:00,110.744,110.745,110.72,110.723,110.768,110.768,110.74,110.747
2017/08/07 07:01:00,110.723,110.735,110.723,110.732,110.747,110.759,110.743,110.756
2017/08/07 07:02:00,110.732,110.74,110.73,110.738,110.756,110.761,110.749,110.753
2017/08/07 07:03:00,110.738,110.768,110.734,110.765,110.753,110.783,110.753,110.78
2017/08/07 07:04:00,110.765,110.784,110.764,110.78,110.78,110.804,110.779,110.795
2017/08/07 07:05:00,110.78,110.782,110.747,110.748,110.795,110.797,110.768,110.772
2017/08/07 07:06:00,110.748,110.761,110.742,110.759,110.772,110.78,110.761,110.774
2017/08/07 07:07:00,110.759,110.759,110.743,110.753,110.774,110.779,110.763,110.768
2017/08/07 07:08:00,110.753,110.754,110.745,110.749,110.768,110.769,110.76,110.764
2017/08/07 07:09:00,110.749,110.75,110.739,110.746,110.764,110.773,110.759,110.77
2017/08/07 07:10:00,110.746,110.775,110.744,110.766,110.77,110.778,110.758,110.769
2017/08/07 07:11:00,110.766,110.771,110.762,110.764,110.769,110.779,110.767,110.776
2017/08/07 07:12:00,110.764,110.791,110.763,110.78,110.776,110.794,110.775,110.792
2017/08/07 07:13:00,110.78,110.798,110.777,110.794,110.792,110.801,110.785,110.797
2017/08/07 07:14:00,110.794,110.802,110.793,110.798,110.797,110.805,110.796,110.801
2017/08/07 07:15:00,110.798,110.799,110.772,110.774,110.801,110.802,110.777,110.777
2017/08/07 07:16:00,110.774,110.782,110.77,110.778,110.777,110.788,110.775,110.781
2017/08/07 07:17:00,110.778,110.778,110.758,110.767,110.781,110.781,110.761,110.77
2017/08/07 07:18:00,110.767,110.773,110.759,110.769,110.77,110.782,110.764,110.772
2017/08/07 07:19:00,110.769,110.771,110.762,110.77,110.772,110.777,110.765,110.773
2017/08/07 07:20:00,110.77,110.78,110.77,110.778,110.773,110.783,110.773,110.781
2017/08/07 07:21:00,110.778,110.782,110.775,110.779,110.781,110.785,110.778,110.782
2017/08/07 07:22:00,110.779,110.781,110.774,110.777,110.782,110.786,110.778,110.78
2017/08/07 07:23:00,110.777,110.784,110.764,110.768,110.78,110.787,110.767,110.771
2017/08/07 07:24:00,110.768,110.782,110.764,110.778,110.771,110.785,110.767,110.781
2017/08/07 07:25:00,110.778,110.782,110.775,110.777,110.781,110.785,110.778,110.78
2017/08/07 07:26:00,110.777,110.781,110.774,110.779,110.78,110.784,110.777,110.782
2017/08/07 07:27:00,110.779,110.781,110.774,110.779,110.782,110.784,110.777,110.782
2017/08/07 07:28:00,110.779,110.78,110.773,110.776,110.782,110.783,110.776,110.779
2017/08/07 07:29:00,110.776,110.779,110.764,110.767,110.779,110.782,110.767,110.77
2017/08/07 07:30:00,110.767,110.788,110.766,110.784,110.77,110.791,110.769,110.787
2017/08/07 07:31:00,110.784,110.789,110.778,110.781,110.787,110.792,110.781,110.784
