日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/05/10 06:00:00,108.314,108.317,108.311,108.312,108.329,108.34,108.329,108.336
2016/05/10 06:01:00,108.312,108.324,108.312,108.324,108.336,108.348,108.336,108.348
2016/05/10 06:02:00,108.324,108.325,108.322,108.325,108.348,108.363,108.348,108.361
2016/05/10 06:03:00,108.325,108.331,108.325,108.325,108.361,108.367,108.361,108.361
2016/05/10 06:04:00,108.325,108.343,108.322,108.343,108.361,108.361,108.355,108.358
2016/05/10 06:05:00,108.343,108.351,108.332,108.349,108.358,108.366,108.347,108.364
2016/05/10 06:06:00,108.349,108.349,108.341,108.346,108.364,108.365,108.357,108.361
2016/05/10 06:07:00,108.346,108.346,108.328,108.34,108.361,108.364,108.343,108.355
2016/05/10 06:08:00,108.34,108.34,108.326,108.328,108.355,108.355,108.341,108.343
2016/05/10 06:09:00,108.328,108.348,108.328,108.337,108.343,108.363,108.343,108.361
2016/05/10 06:10:00,108.337,108.354,108.337,108.351,108.361,108.363,108.351,108.354
2016/05/10 06:11:00,108.351,108.354,108.351,108.353,108.354,108.357,108.354,108.356
2016/05/10 06:12:00,108.353,108.379,108.352,108.378,108.356,108.382,108.355,108.381
2016/05/10 06:13:00,108.378,108.383,108.374,108.381,108.381,108.386,108.377,108.384
2016/05/10 06:14:00,108.381,108.388,108.38,108.383,108.384,108.391,108.383,108.386
2016/05/10 06:15:00,108.383,108.383,108.369,108.373,108.386,108.386,108.372,108.376
2016/05/10 06:16:00,108.373,108.385,108.369,108.382,108.376,108.409,108.375,108.385
2016/05/10 06:17:00,108.382,108.43,108.382,108.405,108.385,108.446,108.385,108.441
2016/05/10 06:18:00,108.405,108.409,108.387,108.389,108.441,108.444,108.39,108.392
2016/05/10 06:19:00,108.389,108.389,108.346,108.37,108.392,108.402,108.371,108.373
2016/05/10 06:20:00,108.37,108.371,108.357,108.358,108.373,108.374,108.36,108.361
2016/05/10 06:21:00,108.358,108.372,108.353,108.365,108.361,108.384,108.36,108.368
2016/05/10 06:22:00,108.365,108.379,108.36,108.377,108.368,108.395,108.365,108.38
2016/05/10 06:23:00,108.377,108.379,108.358,108.369,108.38,108.407,108.377,108.405
2016/05/10 06:24:00,108.369,108.372,108.369,108.37,108.405,108.408,108.405,108.406
2016/05/10 06:25:00,108.37,108.372,108.369,108.371,108.406,108.408,108.404,108.407
2016/05/10 06:26:00,108.371,108.373,108.369,108.369,108.407,108.408,108.405,108.405
2016/05/10 06:27:00,108.369,108.372,108.369,108.372,108.405,108.408,108.405,108.408
2016/05/10 06:28:00,108.372,108.372,108.366,108.369,108.408,108.408,108.402,108.404
2016/05/10 06:29:00,108.369,108.4,108.368,108.4,108.404,108.411,108.39,108.403
2016/05/10 06:30:00,108.4,108.406,108.375,108.379,108.403,108.422,108.381,108.382
2016/05/10 06:31:00,108.379,108.411,108.379,108.397,108.382,108.447,108.382,108.427
2016/05/10 06:32:00,108.397,108.401,108.396,108.4,108.427,108.43,108.426,108.43
2016/05/10 06:33:00,108.4,108.415,108.399,108.404,108.43,108.431,108.417,108.431
2016/05/10 06:34:00,108.404,108.415,108.4,108.415,108.431,108.444,108.427,108.443
2016/05/10 06:35:00,108.415,108.419,108.411,108.418,108.443,108.447,108.439,108.445
2016/05/10 06:36:00,108.418,108.433,108.417,108.425,108.445,108.45,108.427,108.428
2016/05/10 06:37:00,108.425,108.44,108.423,108.428,108.428,108.454,108.427,108.431
2016/05/10 06:38:00,108.428,108.444,108.422,108.442,108.431,108.464,108.431,108.445
2016/05/10 06:39:00,108.442,108.446,108.441,108.441,108.445,108.449,108.444,108.444
2016/05/10 06:40:00,108.441,108.442,108.436,108.438,108.444,108.445,108.439,108.441
2016/05/10 06:41:00,108.438,108.443,108.437,108.441,108.441,108.446,108.44,108.444
2016/05/10 06:42:00,108.441,108.445,108.431,108.433,108.444,108.459,108.443,108.458
2016/05/10 06:43:00,108.433,108.447,108.433,108.439,108.458,108.458,108.442,108.442
2016/05/10 06:44:00,108.439,108.441,108.433,108.436,108.442,108.444,108.436,108.439
2016/05/10 06:45:00,108.436,108.438,108.425,108.428,108.439,108.441,108.428,108.431
2016/05/10 06:46:00,108.428,108.432,108.418,108.419,108.431,108.446,108.431,108.445
2016/05/10 06:47:00,108.419,108.431,108.417,108.42,108.445,108.455,108.432,108.451
2016/05/10 06:48:00,108.42,108.425,108.42,108.425,108.451,108.453,108.45,108.45
2016/05/10 06:49:00,108.425,108.451,108.421,108.434,108.45,108.466,108.435,108.459
2016/05/10 06:50:00,108.434,108.435,108.434,108.435,108.459,108.462,108.459,108.461
2016/05/10 06:51:00,108.435,108.435,108.432,108.432,108.461,108.461,108.459,108.459
2016/05/10 06:52:00,108.432,108.437,108.432,108.437,108.459,108.463,108.459,108.463
2016/05/10 06:53:00,108.437,108.448,108.436,108.446,108.463,108.463,108.448,108.449
2016/05/10 06:54:00,108.446,108.447,108.433,108.442,108.449,108.461,108.445,108.445
2016/05/10 06:55:00,108.442,108.445,108.436,108.439,108.445,108.464,108.445,108.464
2016/05/10 06:56:00,108.439,108.455,108.439,108.452,108.464,108.467,108.454,108.455
2016/05/10 06:57:00,108.452,108.454,108.449,108.449,108.455,108.457,108.452,108.452
2016/05/10 06:58:00,108.449,108.46,108.442,108.454,108.452,108.472,108.452,108.457
2016/05/10 06:59:00,108.454,108.474,108.441,108.472,108.457,108.51,108.454,108.508
2016/05/10 07:00:00,108.472,108.473,108.439,108.455,108.508,108.509,108.453,108.458
2016/05/10 07:01:00,108.455,108.467,108.446,108.463,108.458,108.479,108.458,108.466
2016/05/10 07:02:00,108.463,108.464,108.452,108.452,108.466,108.467,108.455,108.455
2016/05/10 07:03:00,108.452,108.454,108.442,108.444,108.455,108.457,108.445,108.447
2016/05/10 07:04:00,108.444,108.448,108.441,108.441,108.447,108.451,108.444,108.444
2016/05/10 07:05:00,108.441,108.445,108.436,108.437,108.444,108.448,108.439,108.44
2016/05/10 07:06:00,108.437,108.447,108.437,108.442,108.44,108.45,108.44,108.445
2016/05/10 07:07:00,108.442,108.445,108.439,108.442,108.445,108.448,108.442,108.445
2016/05/10 07:08:00,108.442,108.45,108.441,108.447,108.445,108.453,108.444,108.45
2016/05/10 07:09:00,108.447,108.447,108.436,108.44,108.45,108.45,108.439,108.443
2016/05/10 07:10:00,108.44,108.445,108.431,108.432,108.443,108.448,108.434,108.435
2016/05/10 07:11:00,108.432,108.438,108.43,108.436,108.435,108.441,108.433,108.439
2016/05/10 07:12:00,108.436,108.44,108.429,108.43,108.439,108.443,108.432,108.433
2016/05/10 07:13:00,108.43,108.435,108.424,108.431,108.433,108.438,108.427,108.434
2016/05/10 07:14:00,108.431,108.432,108.427,108.43,108.434,108.435,108.43,108.433
2016/05/10 07:15:00,108.43,108.437,108.426,108.433,108.433,108.44,108.429,108.436
2016/05/10 07:16:00,108.433,108.438,108.432,108.433,108.436,108.441,108.435,108.436
2016/05/10 07:17:00,108.433,108.436,108.43,108.432,108.436,108.439,108.433,108.435
2016/05/10 07:18:00,108.432,108.434,108.427,108.429,108.435,108.437,108.43,108.432
2016/05/10 07:19:00,108.429,108.434,108.426,108.43,108.432,108.437,108.429,108.433
2016/05/10 07:20:00,108.43,108.43,108.418,108.422,108.433,108.433,108.421,108.425
