日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/12/04 07:00:00,112.776,112.78,112.693,112.742,112.84,112.842,112.746,112.786
2017/12/04 07:01:00,112.742,112.748,112.698,112.718,112.786,112.792,112.744,112.762
2017/12/04 07:02:00,112.718,112.748,112.702,112.717,112.762,112.783,112.746,112.761
2017/12/04 07:03:00,112.717,112.732,112.711,112.719,112.761,112.763,112.747,112.763
2017/12/04 07:04:00,112.719,112.743,112.712,112.724,112.763,112.775,112.751,112.768
2017/12/04 07:05:00,112.724,112.73,112.7,112.703,112.768,112.768,112.736,112.747
2017/12/04 07:06:00,112.703,112.727,112.694,112.707,112.747,112.76,112.728,112.731
2017/12/04 07:07:00,112.707,112.713,112.69,112.705,112.731,112.745,112.724,112.729
2017/12/04 07:08:00,112.705,112.722,112.692,112.703,112.729,112.746,112.72,112.727
2017/12/04 07:09:00,112.703,112.707,112.696,112.704,112.727,112.729,112.72,112.728
2017/12/04 07:10:00,112.704,112.709,112.68,112.699,112.728,112.732,112.702,112.711
2017/12/04 07:11:00,112.699,112.708,112.679,112.684,112.711,112.727,112.687,112.696
2017/12/04 07:12:00,112.684,112.699,112.639,112.659,112.696,112.709,112.656,112.671
2017/12/04 07:13:00,112.659,112.682,112.637,112.664,112.671,112.726,112.67,112.676
2017/12/04 07:14:00,112.664,112.671,112.645,112.667,112.676,112.692,112.67,112.679
2017/12/04 07:15:00,112.667,112.68,112.652,112.675,112.679,112.698,112.679,112.687
2017/12/04 07:16:00,112.675,112.709,112.674,112.706,112.687,112.721,112.686,112.718
2017/12/04 07:17:00,112.706,112.735,112.675,112.676,112.718,112.805,112.718,112.72
2017/12/04 07:18:00,112.676,112.764,112.671,112.682,112.72,112.79,112.715,112.726
2017/12/04 07:19:00,112.682,112.717,112.667,112.711,112.726,112.766,112.711,112.755
2017/12/04 07:20:00,112.711,112.711,112.69,112.697,112.755,112.765,112.734,112.741
2017/12/04 07:21:00,112.697,112.739,112.687,112.709,112.741,112.779,112.719,112.753
2017/12/04 07:22:00,112.709,112.73,112.703,112.715,112.753,112.753,112.724,112.727
2017/12/04 07:23:00,112.715,112.716,112.664,112.707,112.727,112.734,112.711,112.719
2017/12/04 07:24:00,112.707,112.709,112.684,112.7,112.719,112.732,112.697,112.712
2017/12/04 07:25:00,112.7,112.703,112.67,112.699,112.712,112.732,112.698,112.711
2017/12/04 07:26:00,112.699,112.703,112.698,112.699,112.711,112.715,112.71,112.711
2017/12/04 07:27:00,112.699,112.702,112.676,112.691,112.711,112.725,112.702,112.703
2017/12/04 07:28:00,112.691,112.696,112.665,112.693,112.703,112.724,112.695,112.705
2017/12/04 07:29:00,112.693,112.697,112.687,112.689,112.705,112.709,112.699,112.701
2017/12/04 07:30:00,112.689,112.703,112.678,112.693,112.701,112.725,112.689,112.705
2017/12/04 07:31:00,112.693,112.713,112.689,112.711,112.705,112.716,112.694,112.714
2017/12/04 07:32:00,112.711,112.713,112.698,112.71,112.714,112.725,112.71,112.722
2017/12/04 07:33:00,112.71,112.713,112.689,112.689,112.722,112.725,112.693,112.701
2017/12/04 07:34:00,112.689,112.708,112.686,112.69,112.701,112.716,112.693,112.702
2017/12/04 07:35:00,112.69,112.692,112.688,112.69,112.702,112.704,112.7,112.702
2017/12/04 07:36:00,112.69,112.703,112.688,112.703,112.702,112.708,112.694,112.706
2017/12/04 07:37:00,112.703,112.712,112.685,112.689,112.706,112.715,112.691,112.692
2017/12/04 07:38:00,112.689,112.696,112.685,112.69,112.692,112.7,112.69,112.693
2017/12/04 07:39:00,112.69,112.691,112.657,112.66,112.693,112.699,112.66,112.663
2017/12/04 07:40:00,112.66,112.676,112.658,112.67,112.663,112.679,112.661,112.673
2017/12/04 07:41:00,112.67,112.672,112.663,112.663,112.673,112.675,112.666,112.666
2017/12/04 07:42:00,112.663,112.667,112.658,112.66,112.666,112.67,112.661,112.663
2017/12/04 07:43:00,112.66,112.663,112.657,112.66,112.663,112.666,112.66,112.663
2017/12/04 07:44:00,112.66,112.68,112.658,112.678,112.663,112.689,112.661,112.681
2017/12/04 07:45:00,112.678,112.683,112.66,112.662,112.681,112.686,112.664,112.665
2017/12/04 07:46:00,112.662,112.667,112.655,112.657,112.665,112.67,112.658,112.66
2017/12/04 07:47:00,112.657,112.678,112.655,112.675,112.66,112.681,112.658,112.678
2017/12/04 07:48:00,112.675,112.683,112.668,112.682,112.678,112.686,112.671,112.685
2017/12/04 07:49:00,112.682,112.711,112.68,112.684,112.685,112.714,112.683,112.687
2017/12/04 07:50:00,112.684,112.688,112.653,112.66,112.687,112.691,112.656,112.663
2017/12/04 07:51:00,112.66,112.689,112.66,112.677,112.663,112.692,112.663,112.68
2017/12/04 07:52:00,112.677,112.68,112.663,112.671,112.68,112.683,112.668,112.674
2017/12/04 07:53:00,112.671,112.681,112.663,112.675,112.674,112.684,112.67,112.678
2017/12/04 07:54:00,112.675,112.682,112.672,112.681,112.678,112.688,112.675,112.684
2017/12/04 07:55:00,112.681,112.695,112.677,112.678,112.684,112.698,112.684,112.69
2017/12/04 07:56:00,112.678,112.7,112.677,112.686,112.69,112.703,112.684,112.689
2017/12/04 07:57:00,112.686,112.713,112.685,112.697,112.689,112.721,112.688,112.709
2017/12/04 07:58:00,112.697,112.72,112.697,112.715,112.709,112.729,112.706,112.718
2017/12/04 07:59:00,112.715,112.754,112.711,112.744,112.718,112.761,112.714,112.747
