日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/12/25 08:00:00,113.239,113.258,113.233,113.242,113.312,113.322,113.303,113.319
2017/12/25 08:01:00,113.242,113.243,113.237,113.241,113.319,113.32,113.315,113.316
2017/12/25 08:02:00,113.241,113.246,113.222,113.233,113.316,113.322,113.299,113.306
2017/12/25 08:03:00,113.233,113.233,113.224,113.224,113.306,113.306,113.296,113.296
2017/12/25 08:04:00,113.224,113.229,113.224,113.228,113.296,113.301,113.296,113.3
2017/12/25 08:05:00,113.228,113.229,113.221,113.222,113.3,113.301,113.285,113.286
2017/12/25 08:06:00,113.222,113.229,113.221,113.229,113.286,113.301,113.285,113.301
2017/12/25 08:07:00,113.229,113.229,113.226,113.227,113.301,113.301,113.299,113.3
2017/12/25 08:08:00,113.227,113.229,113.225,113.229,113.3,113.302,113.298,113.302
2017/12/25 08:09:00,113.229,113.244,113.227,113.242,113.302,113.302,113.277,113.286
2017/12/25 08:10:00,113.242,113.247,113.229,113.24,113.286,113.301,113.284,113.284
2017/12/25 08:11:00,113.24,113.243,113.228,113.232,113.284,113.302,113.284,113.296
2017/12/25 08:12:00,113.232,113.233,113.23,113.231,113.296,113.297,113.294,113.295
2017/12/25 08:13:00,113.231,113.232,113.231,113.232,113.295,113.296,113.295,113.296
2017/12/25 08:14:00,113.232,113.232,113.231,113.232,113.296,113.296,113.295,113.296
2017/12/25 08:15:00,113.232,113.235,113.228,113.235,113.296,113.299,113.292,113.299
2017/12/25 08:16:00,113.235,113.235,113.231,113.232,113.299,113.299,113.275,113.296
2017/12/25 08:17:00,113.232,113.233,113.231,113.233,113.296,113.297,113.295,113.297
2017/12/25 08:18:00,113.233,113.233,113.219,113.228,113.297,113.297,113.283,113.292
2017/12/25 08:19:00,113.228,113.23,113.219,113.23,113.292,113.294,113.283,113.294
2017/12/25 08:20:00,113.23,113.232,113.228,113.228,113.294,113.296,113.292,113.292
2017/12/25 08:21:00,113.228,113.23,113.228,113.229,113.292,113.294,113.292,113.293
2017/12/25 08:22:00,113.229,113.233,113.229,113.229,113.293,113.297,113.293,113.293
2017/12/25 08:23:00,113.229,113.231,113.229,113.23,113.293,113.295,113.293,113.294
