日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/04/15 06:00:00,109.367,109.395,109.352,109.361,109.434,109.434,109.385,109.429
2016/04/15 06:01:00,109.361,109.411,109.357,109.363,109.429,109.432,109.399,109.424
2016/04/15 06:02:00,109.363,109.415,109.358,109.358,109.424,109.437,109.394,109.394
2016/04/15 06:03:00,109.358,109.388,109.358,109.373,109.394,109.415,109.392,109.409
2016/04/15 06:04:00,109.373,109.376,109.366,109.366,109.409,109.422,109.407,109.417
2016/04/15 06:05:00,109.366,109.378,109.352,109.355,109.417,109.42,109.39,109.4
2016/04/15 06:06:00,109.355,109.365,109.353,109.364,109.4,109.41,109.389,109.409
2016/04/15 06:07:00,109.364,109.368,109.357,109.357,109.409,109.41,109.393,109.393
2016/04/15 06:08:00,109.357,109.375,109.348,109.358,109.393,109.407,109.391,109.403
2016/04/15 06:09:00,109.358,109.374,109.357,109.366,109.403,109.411,109.401,109.411
2016/04/15 06:10:00,109.366,109.373,109.361,109.367,109.411,109.415,109.397,109.412
2016/04/15 06:11:00,109.367,109.374,109.364,109.368,109.412,109.415,109.395,109.401
2016/04/15 06:12:00,109.368,109.376,109.367,109.368,109.401,109.408,109.4,109.401
2016/04/15 06:13:00,109.368,109.374,109.363,109.374,109.401,109.402,109.39,109.402
2016/04/15 06:14:00,109.374,109.374,109.353,109.353,109.402,109.402,109.38,109.381
2016/04/15 06:15:00,109.353,109.369,109.352,109.359,109.381,109.386,109.367,109.386
2016/04/15 06:16:00,109.359,109.385,109.359,109.378,109.386,109.397,109.381,109.381
2016/04/15 06:17:00,109.378,109.385,109.359,109.374,109.381,109.393,109.377,109.377
2016/04/15 06:18:00,109.374,109.374,109.361,109.364,109.377,109.394,109.377,109.389
2016/04/15 06:19:00,109.364,109.366,109.36,109.362,109.389,109.392,109.387,109.388
2016/04/15 06:20:00,109.362,109.387,109.36,109.386,109.388,109.4,109.384,109.389
2016/04/15 06:21:00,109.386,109.387,109.383,109.383,109.389,109.39,109.386,109.386
2016/04/15 06:22:00,109.383,109.388,109.369,109.371,109.386,109.402,109.385,109.397
2016/04/15 06:23:00,109.371,109.384,109.369,109.37,109.397,109.399,109.385,109.397
2016/04/15 06:24:00,109.37,109.38,109.366,109.38,109.397,109.398,109.383,109.383
2016/04/15 06:25:00,109.38,109.386,109.366,109.386,109.383,109.401,109.383,109.389
2016/04/15 06:26:00,109.386,109.388,109.383,109.384,109.389,109.391,109.386,109.387
2016/04/15 06:27:00,109.384,109.386,109.372,109.373,109.387,109.4,109.386,109.398
2016/04/15 06:28:00,109.373,109.386,109.373,109.383,109.398,109.401,109.385,109.386
2016/04/15 06:29:00,109.383,109.386,109.373,109.386,109.386,109.4,109.385,109.389
2016/04/15 06:30:00,109.386,109.386,109.367,109.382,109.389,109.399,109.381,109.385
2016/04/15 06:31:00,109.382,109.39,109.382,109.388,109.385,109.393,109.385,109.391
2016/04/15 06:32:00,109.388,109.395,109.386,109.394,109.391,109.398,109.389,109.397
2016/04/15 06:33:00,109.394,109.394,109.388,109.39,109.397,109.397,109.391,109.393
2016/04/15 06:34:00,109.39,109.396,109.387,109.396,109.393,109.399,109.39,109.399
2016/04/15 06:35:00,109.396,109.398,109.393,109.393,109.399,109.401,109.396,109.396
2016/04/15 06:36:00,109.393,109.398,109.382,109.393,109.396,109.41,109.395,109.396
2016/04/15 06:37:00,109.393,109.393,109.376,109.379,109.396,109.406,109.391,109.406
2016/04/15 06:38:00,109.379,109.391,109.374,109.378,109.406,109.408,109.39,109.404
2016/04/15 06:39:00,109.378,109.379,109.372,109.375,109.404,109.409,109.403,109.406
2016/04/15 06:40:00,109.375,109.382,109.375,109.382,109.406,109.411,109.406,109.41
2016/04/15 06:41:00,109.382,109.388,109.379,109.383,109.41,109.415,109.408,109.41
2016/04/15 06:42:00,109.383,109.387,109.378,109.378,109.41,109.415,109.408,109.409
2016/04/15 06:43:00,109.378,109.393,109.378,109.392,109.409,109.421,109.409,109.419
2016/04/15 06:44:00,109.392,109.392,109.383,109.385,109.419,109.42,109.412,109.415
2016/04/15 06:45:00,109.385,109.392,109.381,109.392,109.415,109.421,109.41,109.421
2016/04/15 06:46:00,109.392,109.395,109.386,109.388,109.421,109.424,109.416,109.418
2016/04/15 06:47:00,109.388,109.391,109.386,109.391,109.418,109.419,109.415,109.419
2016/04/15 06:48:00,109.391,109.41,109.388,109.399,109.419,109.433,109.41,109.427
2016/04/15 06:49:00,109.399,109.409,109.398,109.407,109.427,109.437,109.426,109.434
2016/04/15 06:50:00,109.407,109.42,109.402,109.404,109.434,109.437,109.418,109.435
2016/04/15 06:51:00,109.404,109.449,109.402,109.448,109.435,109.464,109.434,109.451
2016/04/15 06:52:00,109.448,109.448,109.43,109.44,109.451,109.458,109.441,109.443
2016/04/15 06:53:00,109.44,109.444,109.435,109.44,109.443,109.447,109.438,109.443
2016/04/15 06:54:00,109.44,109.441,109.434,109.436,109.443,109.444,109.437,109.439
2016/04/15 06:55:00,109.436,109.437,109.413,109.417,109.439,109.44,109.416,109.42
