日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/10/20 06:00:00,103.423,103.434,103.423,103.432,103.459,103.47,103.459,103.468
2016/10/20 06:01:00,103.432,103.432,103.43,103.43,103.468,103.468,103.466,103.466
2016/10/20 06:02:00,103.43,103.437,103.43,103.431,103.466,103.473,103.466,103.467
2016/10/20 06:03:00,103.431,103.434,103.424,103.424,103.467,103.47,103.462,103.462
2016/10/20 06:04:00,103.424,103.435,103.424,103.433,103.462,103.471,103.462,103.469
2016/10/20 06:05:00,103.433,103.437,103.429,103.431,103.469,103.47,103.453,103.455
2016/10/20 06:06:00,103.431,103.432,103.426,103.427,103.455,103.456,103.45,103.451
2016/10/20 06:07:00,103.427,103.436,103.421,103.422,103.451,103.467,103.446,103.458
2016/10/20 06:08:00,103.422,103.425,103.421,103.421,103.458,103.461,103.457,103.457
2016/10/20 06:09:00,103.421,103.431,103.42,103.431,103.457,103.467,103.449,103.467
2016/10/20 06:10:00,103.431,103.449,103.431,103.431,103.467,103.467,103.442,103.459
2016/10/20 06:11:00,103.431,103.439,103.431,103.437,103.459,103.459,103.436,103.44
2016/10/20 06:12:00,103.437,103.439,103.43,103.43,103.44,103.459,103.435,103.458
2016/10/20 06:13:00,103.43,103.442,103.43,103.434,103.458,103.458,103.436,103.437
2016/10/20 06:14:00,103.434,103.435,103.432,103.433,103.437,103.438,103.435,103.436
2016/10/20 06:15:00,103.433,103.438,103.429,103.436,103.436,103.441,103.432,103.439
2016/10/20 06:16:00,103.436,103.436,103.431,103.434,103.439,103.439,103.434,103.437
2016/10/20 06:17:00,103.434,103.436,103.432,103.432,103.437,103.439,103.435,103.435
2016/10/20 06:18:00,103.432,103.437,103.431,103.434,103.435,103.44,103.434,103.437
2016/10/20 06:19:00,103.434,103.434,103.364,103.402,103.437,103.444,103.398,103.405
2016/10/20 06:20:00,103.402,103.407,103.367,103.407,103.405,103.426,103.4,103.41
2016/10/20 06:21:00,103.407,103.407,103.373,103.392,103.41,103.42,103.394,103.395
2016/10/20 06:22:00,103.392,103.399,103.379,103.385,103.395,103.421,103.393,103.413
2016/10/20 06:23:00,103.385,103.411,103.381,103.408,103.413,103.423,103.406,103.411
2016/10/20 06:24:00,103.408,103.409,103.397,103.399,103.411,103.412,103.4,103.402
2016/10/20 06:25:00,103.399,103.404,103.398,103.404,103.402,103.407,103.401,103.407
2016/10/20 06:26:00,103.404,103.405,103.4,103.402,103.407,103.408,103.403,103.405
2016/10/20 06:27:00,103.402,103.404,103.4,103.403,103.405,103.407,103.403,103.406
2016/10/20 06:28:00,103.403,103.42,103.398,103.405,103.406,103.423,103.401,103.408
2016/10/20 06:29:00,103.405,103.407,103.4,103.403,103.408,103.41,103.403,103.406
2016/10/20 06:30:00,103.403,103.406,103.399,103.401,103.406,103.409,103.402,103.404
2016/10/20 06:31:00,103.401,103.407,103.39,103.406,103.404,103.421,103.402,103.409
2016/10/20 06:32:00,103.406,103.411,103.394,103.397,103.409,103.427,103.405,103.425
2016/10/20 06:33:00,103.397,103.406,103.392,103.406,103.425,103.426,103.406,103.409
2016/10/20 06:34:00,103.406,103.409,103.401,103.402,103.409,103.412,103.404,103.405
2016/10/20 06:35:00,103.402,103.404,103.398,103.399,103.405,103.407,103.401,103.402
2016/10/20 06:36:00,103.399,103.402,103.339,103.358,103.402,103.405,103.371,103.394
2016/10/20 06:37:00,103.358,103.378,103.348,103.348,103.394,103.398,103.373,103.384
2016/10/20 06:38:00,103.348,103.383,103.329,103.367,103.384,103.403,103.362,103.395
2016/10/20 06:39:00,103.367,103.399,103.365,103.393,103.395,103.414,103.385,103.396
2016/10/20 06:40:00,103.393,103.395,103.371,103.372,103.396,103.419,103.392,103.408
2016/10/20 06:41:00,103.372,103.377,103.37,103.374,103.408,103.412,103.402,103.402
2016/10/20 06:42:00,103.374,103.392,103.355,103.375,103.402,103.428,103.389,103.411
2016/10/20 06:43:00,103.375,103.376,103.367,103.375,103.411,103.412,103.399,103.411
2016/10/20 06:44:00,103.375,103.378,103.37,103.377,103.411,103.414,103.406,103.413
2016/10/20 06:45:00,103.377,103.378,103.354,103.354,103.413,103.414,103.386,103.39
2016/10/20 06:46:00,103.354,103.4,103.353,103.383,103.39,103.421,103.385,103.411
2016/10/20 06:47:00,103.383,103.385,103.383,103.384,103.411,103.413,103.411,103.412
