日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/06/30 06:00:00,102.809,102.834,102.79,102.806,102.852,102.902,102.852,102.857
2016/06/30 06:01:00,102.806,102.815,102.8,102.815,102.857,102.868,102.855,102.868
2016/06/30 06:02:00,102.815,102.835,102.806,102.809,102.868,102.871,102.857,102.864
2016/06/30 06:03:00,102.809,102.826,102.806,102.809,102.864,102.866,102.854,102.865
2016/06/30 06:04:00,102.809,102.821,102.809,102.821,102.865,102.875,102.863,102.875
2016/06/30 06:05:00,102.821,102.836,102.816,102.836,102.875,102.895,102.849,102.851
2016/06/30 06:06:00,102.836,102.839,102.83,102.832,102.851,102.863,102.851,102.856
2016/06/30 06:07:00,102.832,102.838,102.825,102.838,102.856,102.863,102.855,102.862
2016/06/30 06:08:00,102.838,102.862,102.838,102.86,102.862,102.897,102.862,102.896
2016/06/30 06:09:00,102.86,102.891,102.832,102.878,102.896,102.932,102.869,102.924
2016/06/30 06:10:00,102.878,102.928,102.878,102.91,102.924,102.959,102.918,102.958
2016/06/30 06:11:00,102.91,102.935,102.898,102.904,102.958,102.966,102.938,102.954
2016/06/30 06:12:00,102.904,102.96,102.889,102.933,102.954,102.979,102.943,102.979
2016/06/30 06:13:00,102.933,102.941,102.923,102.924,102.979,102.979,102.941,102.966
2016/06/30 06:14:00,102.924,102.938,102.916,102.919,102.966,102.967,102.953,102.965
2016/06/30 06:15:00,102.919,102.937,102.916,102.937,102.965,102.978,102.962,102.975
2016/06/30 06:16:00,102.937,102.945,102.929,102.936,102.975,102.986,102.968,102.983
2016/06/30 06:17:00,102.936,102.952,102.931,102.933,102.983,102.985,102.968,102.968
2016/06/30 06:18:00,102.933,102.959,102.927,102.959,102.968,102.986,102.967,102.984
2016/06/30 06:19:00,102.959,102.973,102.948,102.96,102.984,102.993,102.962,102.993
2016/06/30 06:20:00,102.96,102.975,102.956,102.974,102.993,102.994,102.977,102.977
2016/06/30 06:21:00,102.974,102.975,102.958,102.958,102.977,102.991,102.972,102.991
2016/06/30 06:22:00,102.958,102.958,102.955,102.956,102.991,102.991,102.988,102.989
2016/06/30 06:23:00,102.956,102.976,102.956,102.962,102.989,102.994,102.976,102.994
2016/06/30 06:24:00,102.962,102.994,102.96,102.968,102.994,103.008,102.993,103
2016/06/30 06:25:00,102.968,103.004,102.959,102.976,103,103.015,102.992,103.009
2016/06/30 06:26:00,102.976,103.002,102.933,102.95,103.009,103.035,102.974,102.993
2016/06/30 06:27:00,102.95,102.954,102.946,102.95,102.993,103.006,102.991,103.003
2016/06/30 06:28:00,102.95,102.95,102.945,102.948,103.003,103.003,102.997,102.999
2016/06/30 06:29:00,102.948,102.958,102.948,102.957,102.999,103.007,102.999,103.004
2016/06/30 06:30:00,102.957,102.958,102.91,102.939,103.004,103.009,102.964,102.993
2016/06/30 06:31:00,102.939,102.97,102.939,102.953,102.993,103.011,102.993,103.007
2016/06/30 06:32:00,102.953,102.954,102.945,102.949,103.007,103.008,102.993,103.001
2016/06/30 06:33:00,102.949,102.951,102.94,102.945,103.001,103.001,102.978,102.987
2016/06/30 06:34:00,102.945,102.947,102.933,102.933,102.987,102.987,102.982,102.986
2016/06/30 06:35:00,102.933,102.947,102.92,102.927,102.986,102.987,102.946,102.978
2016/06/30 06:36:00,102.927,102.94,102.89,102.909,102.978,102.978,102.911,102.912
2016/06/30 06:37:00,102.909,102.911,102.856,102.899,102.912,102.938,102.888,102.927
2016/06/30 06:38:00,102.899,102.919,102.895,102.895,102.927,102.933,102.919,102.928
2016/06/30 06:39:00,102.895,102.92,102.894,102.9,102.928,102.937,102.922,102.933
2016/06/30 06:40:00,102.9,102.902,102.896,102.901,102.933,102.935,102.931,102.934
2016/06/30 06:41:00,102.901,102.909,102.898,102.907,102.934,102.936,102.929,102.936
2016/06/30 06:42:00,102.907,102.908,102.896,102.906,102.936,102.94,102.934,102.936
2016/06/30 06:43:00,102.906,102.922,102.89,102.902,102.936,102.937,102.924,102.931
2016/06/30 06:44:00,102.902,102.912,102.892,102.894,102.931,102.939,102.931,102.935
2016/06/30 06:45:00,102.894,102.909,102.892,102.906,102.935,102.941,102.933,102.938
2016/06/30 06:46:00,102.906,102.906,102.89,102.896,102.938,102.943,102.924,102.925
2016/06/30 06:47:00,102.896,102.903,102.881,102.884,102.925,102.925,102.896,102.913
2016/06/30 06:48:00,102.884,102.9,102.884,102.898,102.913,102.933,102.91,102.927
2016/06/30 06:49:00,102.898,102.912,102.898,102.903,102.927,102.931,102.911,102.928
2016/06/30 06:50:00,102.903,102.918,102.899,102.906,102.928,102.935,102.915,102.934
2016/06/30 06:51:00,102.906,102.911,102.905,102.906,102.934,102.939,102.933,102.935
2016/06/30 06:52:00,102.906,102.91,102.905,102.909,102.935,102.937,102.934,102.936
2016/06/30 06:53:00,102.909,102.919,102.899,102.917,102.936,102.936,102.915,102.92
2016/06/30 06:54:00,102.917,102.918,102.902,102.907,102.92,102.94,102.916,102.939
2016/06/30 06:55:00,102.907,102.912,102.904,102.904,102.939,102.944,102.931,102.935
2016/06/30 06:56:00,102.904,102.911,102.887,102.887,102.935,102.935,102.91,102.92
2016/06/30 06:57:00,102.887,102.911,102.887,102.908,102.92,102.926,102.911,102.911
2016/06/30 06:58:00,102.908,102.921,102.897,102.9,102.911,102.94,102.91,102.925
2016/06/30 06:59:00,102.9,102.903,102.89,102.89,102.925,102.929,102.905,102.92
2016/06/30 07:00:00,102.89,102.905,102.869,102.896,102.92,102.929,102.884,102.899
2016/06/30 07:01:00,102.896,102.899,102.87,102.895,102.899,102.92,102.895,102.898
2016/06/30 07:02:00,102.895,102.899,102.885,102.889,102.898,102.917,102.898,102.917
2016/06/30 07:03:00,102.889,102.893,102.886,102.888,102.917,102.919,102.913,102.915
2016/06/30 07:04:00,102.888,102.906,102.882,102.889,102.915,102.92,102.903,102.917
2016/06/30 07:05:00,102.889,102.903,102.883,102.891,102.917,102.92,102.902,102.917
2016/06/30 07:06:00,102.891,102.906,102.869,102.884,102.917,102.917,102.897,102.912
2016/06/30 07:07:00,102.884,102.888,102.881,102.885,102.912,102.915,102.908,102.913
2016/06/30 07:08:00,102.885,102.909,102.882,102.894,102.913,102.92,102.901,102.919
2016/06/30 07:09:00,102.894,102.907,102.885,102.891,102.919,102.922,102.898,102.917
2016/06/30 07:10:00,102.891,102.902,102.885,102.889,102.917,102.926,102.905,102.916
2016/06/30 07:11:00,102.889,102.906,102.886,102.904,102.916,102.916,102.902,102.907
2016/06/30 07:12:00,102.904,102.908,102.88,102.88,102.907,102.922,102.903,102.907
2016/06/30 07:13:00,102.88,102.88,102.875,102.875,102.907,102.907,102.902,102.902
2016/06/30 07:14:00,102.875,102.886,102.867,102.88,102.902,102.905,102.88,102.883
2016/06/30 07:15:00,102.88,102.88,102.874,102.875,102.883,102.883,102.877,102.878
2016/06/30 07:16:00,102.875,102.882,102.864,102.869,102.878,102.885,102.867,102.872
2016/06/30 07:17:00,102.869,102.89,102.861,102.888,102.872,102.893,102.864,102.891
2016/06/30 07:18:00,102.888,102.89,102.865,102.869,102.891,102.893,102.872,102.872
2016/06/30 07:19:00,102.869,102.872,102.858,102.866,102.872,102.887,102.869,102.869
2016/06/30 07:20:00,102.866,102.871,102.856,102.87,102.869,102.883,102.868,102.873
2016/06/30 07:21:00,102.87,102.872,102.867,102.868,102.873,102.875,102.87,102.871
2016/06/30 07:22:00,102.868,102.871,102.823,102.827,102.871,102.874,102.844,102.854
2016/06/30 07:23:00,102.827,102.844,102.825,102.841,102.854,102.857,102.842,102.844
2016/06/30 07:24:00,102.841,102.844,102.835,102.836,102.844,102.847,102.838,102.839
2016/06/30 07:25:00,102.836,102.837,102.816,102.816,102.839,102.85,102.837,102.844
2016/06/30 07:26:00,102.816,102.82,102.816,102.82,102.844,102.847,102.843,102.847
2016/06/30 07:27:00,102.82,102.829,102.815,102.823,102.847,102.847,102.825,102.826
2016/06/30 07:28:00,102.823,102.825,102.819,102.823,102.826,102.828,102.822,102.826
2016/06/30 07:29:00,102.823,102.823,102.795,102.795,102.826,102.827,102.815,102.822
2016/06/30 07:30:00,102.795,102.836,102.795,102.826,102.822,102.839,102.808,102.829
2016/06/30 07:31:00,102.826,102.834,102.824,102.824,102.829,102.837,102.827,102.827
2016/06/30 07:32:00,102.824,102.838,102.824,102.834,102.827,102.841,102.827,102.837
2016/06/30 07:33:00,102.834,102.835,102.831,102.832,102.837,102.838,102.834,102.835
2016/06/30 07:34:00,102.832,102.853,102.831,102.847,102.835,102.856,102.834,102.85
2016/06/30 07:35:00,102.847,102.848,102.823,102.833,102.85,102.851,102.826,102.836
2016/06/30 07:36:00,102.833,102.845,102.827,102.832,102.836,102.848,102.83,102.835
2016/06/30 07:37:00,102.832,102.833,102.809,102.826,102.835,102.836,102.812,102.829
2016/06/30 07:38:00,102.826,102.826,102.811,102.814,102.829,102.829,102.814,102.817
2016/06/30 07:39:00,102.814,102.826,102.806,102.824,102.817,102.829,102.809,102.827
2016/06/30 07:40:00,102.824,102.829,102.817,102.829,102.827,102.832,102.82,102.832
2016/06/30 07:41:00,102.829,102.84,102.825,102.832,102.832,102.843,102.828,102.835
2016/06/30 07:42:00,102.832,102.842,102.828,102.83,102.835,102.845,102.831,102.833
2016/06/30 07:43:00,102.83,102.832,102.823,102.83,102.833,102.835,102.826,102.833
2016/06/30 07:44:00,102.83,102.834,102.827,102.83,102.833,102.837,102.83,102.833
2016/06/30 07:45:00,102.83,102.832,102.828,102.829,102.833,102.835,102.831,102.832
2016/06/30 07:46:00,102.829,102.835,102.827,102.834,102.832,102.838,102.83,102.837
2016/06/30 07:47:00,102.834,102.835,102.83,102.834,102.837,102.838,102.833,102.837
2016/06/30 07:48:00,102.834,102.839,102.832,102.837,102.837,102.842,102.835,102.84
2016/06/30 07:49:00,102.837,102.84,102.836,102.837,102.84,102.843,102.839,102.84
2016/06/30 07:50:00,102.837,102.85,102.835,102.846,102.84,102.853,102.838,102.849
2016/06/30 07:51:00,102.846,102.877,102.844,102.872,102.849,102.88,102.847,102.875
2016/06/30 07:52:00,102.872,102.873,102.855,102.868,102.875,102.885,102.865,102.871
2016/06/30 07:53:00,102.868,102.874,102.867,102.868,102.871,102.877,102.87,102.871
2016/06/30 07:54:00,102.868,102.872,102.867,102.868,102.871,102.875,102.87,102.871
2016/06/30 07:55:00,102.868,102.878,102.868,102.876,102.871,102.881,102.871,102.879
2016/06/30 07:56:00,102.876,102.894,102.875,102.888,102.879,102.897,102.878,102.891
2016/06/30 07:57:00,102.888,102.893,102.888,102.89,102.891,102.896,102.891,102.893
2016/06/30 07:58:00,102.89,102.893,102.887,102.89,102.893,102.896,102.89,102.893
2016/06/30 07:59:00,102.89,102.894,102.889,102.889,102.893,102.897,102.892,102.892
2016/06/30 08:00:00,102.889,102.89,102.868,102.877,102.892,102.893,102.871,102.88
2016/06/30 08:01:00,102.877,102.885,102.873,102.879,102.88,102.888,102.876,102.882
2016/06/30 08:02:00,102.879,102.882,102.857,102.867,102.882,102.885,102.86,102.87
2016/06/30 08:03:00,102.867,102.869,102.864,102.867,102.87,102.872,102.867,102.87
2016/06/30 08:04:00,102.867,102.889,102.863,102.885,102.87,102.892,102.866,102.888
2016/06/30 08:05:00,102.885,102.888,102.881,102.881,102.888,102.891,102.884,102.884
2016/06/30 08:06:00,102.881,102.884,102.878,102.88,102.884,102.887,102.881,102.883
2016/06/30 08:07:00,102.88,102.881,102.875,102.875,102.883,102.884,102.878,102.878
2016/06/30 08:08:00,102.875,102.878,102.875,102.878,102.878,102.881,102.878,102.881
2016/06/30 08:09:00,102.878,102.878,102.873,102.876,102.881,102.881,102.876,102.879
2016/06/30 08:10:00,102.876,102.882,102.871,102.882,102.879,102.885,102.874,102.885
