time,op,hi,lo,cl,10ma,25ma,75ma
2016/05/02 07:00:00,106.331,106.819,106.145,106.4135,109.752,110.08313999999999,113.2070666666667
2016/05/03 07:00:00,106.4135,107.412,105.549,106.94550000000001,109.50835000000002,109.80382,113.06160666666668
2016/05/04 07:00:00,106.94550000000001,107.361,106.254,107.03550000000001,109.27604999999998,109.57343999999999,112.91900000000004
2016/05/05 07:00:00,107.03550000000001,107.501,106.803,107.275,109.00585000000001,109.35739999999998,112.78686000000003
2016/05/06 07:00:00,107.275,107.419,106.441,107.1165,108.79060000000001,109.14676,112.64774000000003
2016/05/09 07:00:00,107.228,108.606,107.17,108.49,108.325,108.96339999999998,112.49219333333336
2016/05/10 07:00:00,108.49,109.371,108.275,109.3435,108.05135,108.85034,112.3614466666667
2016/05/11 07:00:00,109.3435,109.345,108.37,108.464,107.85655,108.81075999999999,112.24037333333337
2016/05/12 07:00:00,108.464,109.394,108.23,109.0395,107.55699999999999,108.75934,112.10402666666668
2016/05/13 07:00:00,109.0395,109.546,108.514,108.63149999999999,107.64955,108.79036,111.97363333333337
2016/05/16 07:00:00,108.66499999999999,109.093,108.469,109.06549999999999,107.87545,108.81291999999998,111.80668666666669
2016/05/17 07:00:00,109.06549999999999,109.652,108.843,109.13550000000001,108.14065000000001,108.85671999999998,111.64772000000002
2016/05/18 07:00:00,109.13550000000001,110.254,108.724,110.18350000000001,108.35965000000002,108.87726,111.50328666666668
2016/05/19 07:00:00,110.18350000000001,110.383,109.699,109.95750000000001,108.67445000000001,108.91346,111.40040666666665
2016/05/20 07:00:00,109.95750000000001,110.587,109.854,110.12450000000001,108.94269999999999,108.93484000000001,111.30955333333334
2016/05/23 07:00:00,110.147,110.238,109.112,109.229,109.2435,108.98964,111.21955333333334
2016/05/24 07:00:00,109.229,110.121,109.172,109.98349999999999,109.31739999999998,109.00480000000002,111.13119333333333
2016/05/25 07:00:00,109.98349999999999,110.449,109.867,110.1745,109.38140000000001,109.03339999999999,111.06276000000001
2016/05/26 07:00:00,110.1745,110.231,109.418,109.75450000000001,109.55245,109.05087999999999,111.02048
2016/05/27 07:00:00,109.75450000000001,110.451,109.475,110.28550000000001,109.62395000000001,109.06396,110.98487333333333
2016/05/30 07:00:00,110.412,111.445,110.413,111.144,109.78935000000001,109.00447999999999,110.94556666666668
2016/05/31 07:00:00,111.144,111.348,110.502,110.7365,109.99720000000002,109.00117999999999,110.8994466666667
2016/06/01 07:00:00,110.7365,110.828,109.052,109.463,110.1573,108.97897999999998,110.85494666666668
2016/06/02 07:00:00,109.463,109.582,108.523,108.851,110.08525,108.89912000000002,110.79325333333337
2016/06/03 07:00:00,108.851,109.135,106.51,106.5335,109.97460000000001,108.9286,110.73465333333336
2016/06/06 07:00:00,106.529,107.657,106.431,107.5385,109.61549999999997,108.93504000000003,110.65345333333333
2016/06/07 07:00:00,107.5385,107.901,107.151,107.3305,109.44645,108.98004000000005,110.58197999999999
2016/06/08 07:00:00,107.3305,107.385,106.592,106.88749999999999,109.18115,108.99544000000002,110.51831999999997
2016/06/09 07:00:00,106.88749999999999,107.175,106.254,106.959,108.85245,108.98952000000003,110.44770666666666
2016/06/10 07:00:00,106.959,107.253,106.554,106.9625,108.5729,108.97688,110.36716
2016/06/13 07:00:00,106.827,106.841,105.746,106.1285,108.24060000000001,108.97072,110.27341333333332
2016/06/14 07:00:00,106.1285,106.416,105.629,106.017,107.73904999999999,108.87625999999999,110.18589999999996
2016/06/15 07:00:00,106.017,106.394,105.46,105.9915,107.2671,108.74319999999997,110.07943333333331
2016/06/16 07:00:00,105.9915,105.995,103.548,104.326,106.91995000000001,108.64429999999999,109.97964666666664
2016/06/17 07:00:00,104.326,104.837,104.082,104.17250000000001,106.46744999999999,108.45576,109.85477999999998
2016/06/20 07:00:00,104.745,104.842,103.785,103.98349999999999,106.23134999999999,108.27740000000001,109.72685999999997
2016/06/21 07:00:00,103.98349999999999,105.058,103.592,104.77250000000001,105.87585000000001,108.07412000000001,109.60047999999998
2016/06/22 07:00:00,104.77250000000001,104.978,104.315,104.8115,105.62005000000002,107.8996,109.49573999999996
2016/06/23 07:00:00,104.8115,106.803,104.072,106.608,105.41245,107.68472000000001,109.38188
2016/06/24 07:00:00,106.608,106.608,100.346,102.2185,105.37735,107.55074000000002,109.2941133333333
2016/06/27 07:00:00,101.886,102.465,101.403,101.9,104.90294999999999,107.23450000000001,109.13923333333332
2016/06/28 07:00:00,101.9,102.84,101.565,102.71549999999999,104.48010000000002,106.94134000000003,108.98075333333331
2016/06/29 07:00:00,102.71549999999999,103.004,102.178,102.905,104.14994999999999,106.65062,108.84103999999999
2016/06/30 07:00:00,102.905,103.394,102.39,103.297,103.8413,106.35984000000002,108.71074666666664
2016/07/01 07:00:00,103.297,103.287,102.443,102.5205,103.73839999999998,106.10154000000003,108.60231999999999
2016/07/04 07:00:00,102.664,102.804,102.431,102.53649999999999,103.5732,105.79094000000003,108.4819333333333
2016/07/05 07:00:00,102.53649999999999,102.588,101.452,101.71950000000001,103.42850000000001,105.44664,108.35622666666666
2016/07/06 07:00:00,101.71950000000001,101.732,100.196,101.3835,103.1232,105.08596000000003,108.21401999999999
2016/07/07 07:00:00,101.3835,101.394,100.597,100.7625,102.78040000000001,104.76278000000003,108.06720666666665
2016/07/08 07:00:00,100.7625,101.279,100.013,100.5495,102.19585000000002,104.43923999999998,107.90645999999997
2016/07/11 07:00:00,100.604,102.892,100.552,102.7705,102.02895,104.19988000000001,107.7393533333333
2016/07/12 07:00:00,102.7705,104.988,102.452,104.75399999999999,102.11600000000001,104.00916000000001,107.59767333333329
2016/07/13 07:00:00,104.75399999999999,104.882,103.893,104.3725,102.31985,103.90610000000001,107.49165999999995
2016/07/14 07:00:00,104.3725,105.943,103.989,105.36,102.4666,103.8055,107.38413999999996
2016/07/15 07:00:00,105.36,106.314,104.662,104.8785,102.67289999999998,103.74154,107.28839333333327
2016/07/18 07:00:00,105.46950000000001,106.262,105.277,106.1165,102.9087,103.65817999999999,107.19743333333327
2016/07/19 07:00:00,106.1165,106.533,105.653,106.1645,103.26669999999999,103.6577,107.12809999999995
2016/07/20 07:00:00,106.1645,107.434,105.835,107.207,103.7112,103.66359999999999,107.07251999999995
2016/07/21 07:00:00,107.207,107.496,105.425,106.178,104.29355000000001,103.71222,107.03861999999994
2016/07/22 07:00:00,106.178,106.396,105.579,106.0935,104.83509999999998,103.78629999999997,107.01080666666661
2016/07/25 07:00:00,106.2,106.72,105.743,105.8375,105.3895,103.86313999999997,106.9844866666666
2016/07/26 07:00:00,105.8375,105.889,103.997,104.73750000000001,105.6962,103.93729999999998,106.95604666666662
2016/07/27 07:00:00,104.73750000000001,106.544,104.689,105.2975,105.69455,103.9359,106.9042533333333
2016/07/28 07:00:00,105.2975,105.503,104.489,105.28399999999999,105.78705,103.95534000000002,106.85117333333329
2016/07/29 07:00:00,105.28399999999999,105.587,101.975,102.09649999999999,105.77945,103.90238000000004,106.79598666666662
2016/08/01 07:00:00,102.1845,102.685,102.114,102.364,105.50124999999998,103.89750000000002,106.70721333333329
2016/08/02 07:00:00,102.364,102.83,100.681,100.9225,105.126,103.91606000000002,106.62073333333329
2016/08/03 07:00:00,100.9225,101.569,100.752,101.26750000000001,104.6018,103.84434000000003,106.50945333333327
2016/08/04 07:00:00,101.26750000000001,101.665,100.867,101.173,104.00785,103.77884,106.39651999999995
2016/08/05 07:00:00,101.173,102.063,100.873,101.79650000000001,103.50735,103.69388,106.28645999999995
2016/08/08 07:00:00,101.94,102.652,101.905,102.418,103.07764999999999,103.66492,106.15344666666661
2016/08/09 07:00:00,102.418,102.527,101.791,101.857,102.7357,103.66018,106.03599999999993
